id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
107,283.2562,283.27119999999996,Stearic acid,24143.353515625,283.2637,11b30401-285d-4c44-bd70-f7362d6d4b91
108,303.2249,303.2399,Arachidonic acid,16392.0625,303.2324,602d27f8-2572-4875-963c-68dd5fa62350
109,306.06850000000003,306.0835,Glutathione,1385.0213623046875,306.076,6221837a-67b4-4125-ad13-009b8d0ac064
110,308.091,308.106,N-Acetylneuraminic acid,386.0782165527344,308.0985,6075d061-1f9a-46c6-89ec-42921bd2234a
111,322.0368,322.0518,Cytidine monophosphate,308.0565185546875,322.0443,455f33e4-ed87-4664-8f77-6d8a9db73a28
113,327.2249,327.2399,Docosahexaenoic acid,10642.1435546875,327.2324,ec67f851-4822-4a35-bf3b-829a96937a31
114,328.0372,328.05219999999997,Cyclic AMP,455.3153381347656,328.0447,6d6b22b0-ef09-41c7-ab0f-8026ac4e17c9
115,338.981,338.996,Fructose 1_6-bisphosphate,281.1248474121094,338.9885,94f0f559-fab4-479a-ba9f-dab185444548
116,346.0478,346.0628,Adenosine monophosphate,3259.97900390625,346.0553,4c2f9eee-1824-4532-8fe3-a8763e6aa187
117,347.032,347.04699999999997,Inosinic acid,1332.42431640625,347.0395,3195ae3a-62b4-478f-8d59-f727b54a666f
118,362.0427,362.0577,Guanosine monophosphate,593.2916259765625,362.0502,8886d949-b2c0-4fba-8a5d-798e53d52e64
124,409.2285,409.2435,LysoPA(0:0/16:0),569.413818359375,409.236,5b1e4e00-4250-4e4f-8353-d53bd97b83a4
127,426.0141,426.02909999999997,ADP,686.68505859375,426.0216,5a279d5a-2df9-4fe6-bf18-97a89ddb3fae
128,435.24420000000003,435.2592,LysoPA(0:0/18:1(9Z)),692.4668579101562,435.2517,abd53c9d-b4cc-4fca-9ed0-4ac11a752738
129,437.2598,437.27479999999997,LysoPA(0:0/18:0),1943.1019287109375,437.2673,cad366da-6e41-4fdf-a3c6-936a35534da7
130,442.009,442.024,Guanosine diphosphate,205.00682067871094,442.0165,52f8df7f-b171-4183-b42f-e02a59bd609d
131,445.0451,445.0601,CDP-ethanolamine,129.9181671142578,445.0526,30b6c40b-c92a-4ce9-95e7-c88ad17d6990
133,436.2756,436.2906,LysoPE(P-16:0/0:0),174.26817321777344,436.2831,e1c58d25-3789-46b8-9fa5-8eae99635db8
134,452.27070000000003,452.2857,LysoPE(0:0/16:0),551.244140625,452.2782,26789a5d-b5ac-4755-8216-440f1565f5f0
