id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
152,505.98040000000003,505.9954,Adenosine triphosphate,103.6885986328125,505.9879,38df193c-0908-4a17-aa23-be30699e7322
153,506.3177,506.3327,LysoPE(0:0/20:1(11Z)),380.0318603515625,506.3252,c7baa5da-bb25-4c8d-bfc0-445465d6f665
155,508.3333,508.3483,LysoPE(0:0/20:0),187.35975646972656,508.3408,429ea018-0508-4bb5-a54a-f858b8f93276
161,524.2706999999999,524.2857,LysoPE(0:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1009.5462646484375,524.2782,41696705-3102-437f-92d7-a56c69b4fd07
164,528.3019999999999,528.317,LysoPE(0:0/22:4(7Z_10Z_13Z_16Z)),413.46820068359375,528.3095,211b168f-fc84-4b31-8e3d-a909445de98e
165,532.3332999999999,532.3483,LysoPE(0:0/22:2(13Z_16Z)),41.82512664794922,532.3408,6aab0750-c998-4f60-863b-c4cdfbe01eda
166,534.3489999999999,534.364,LysoPE(0:0/22:1(13Z)),60.32596206665039,534.3565,21f06400-a47f-46bc-9dcd-0109efd6b1b5
167,540.0455,540.0605,Cyclic ADP-ribose,122.3318862915039,540.053,5cca889f-09fb-4162-939b-b02ae3dae7fe
169,552.2656999999999,552.2807,PE(23:6),251.60569763183594,552.2732,16058bb7-fe24-4398-8917-4e3d7c804ac3
170,554.3177,554.3327,LPE(24:5),87.79151153564453,554.3252,ae1444aa-8b44-4705-86f5-2719bd0f98e8
173,402.9874,403.00239999999997,Uridine 5'-diphosphate,446.91412353515625,402.9949,ecd0e72f-e35b-4c36-a932-97d4ce580ff0
179,599.3127,599.3277,LysoPI(0:0/18:0),581.03955078125,599.3202,55cfb7f0-59bb-4b9f-bf9b-1777c2f59633
181,615.1619999999999,615.177,Heme,142.06883239746094,615.1695,06347109-ae5f-484a-8850-a003651def2e
182,619.2814,619.2964000000001,LPI(20:4),221.37147521972656,619.2889,e95ac875-a021-487d-b3ad-252643cd65cb
183,647.4581999999999,647.4732,PA(16:0/16:0),248.03775024414062,647.4657,3962ad7b-6b3c-4a0b-bcbb-78ecf3357951
186,673.4739,673.4889000000001,PA(16:0/18:1(11Z)),681.6631469726562,673.4814,cbd993f3-c204-4b97-be3a-ea1b7274e90c
191,699.4894999999999,699.5045,PA(18:0/18:2(9Z_12Z)),593.3605346679688,699.497,15355dc1-57f1-49a1-8b33-ce62d178980a
192,701.5052,701.5202,PA(14:0/22:1(13Z)),846.6197509765625,701.5127,25e7cabe-1493-43e4-afef-f4f018e8dc18
214,744.5473999999999,744.5624,PE(14:0/22:1(13Z)),971.1410522460938,744.5549,cdec0023-47e8-482e-bd57-f6c79fc1dca1
220,747.4894999999999,747.5045,PA(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1399.84033203125,747.497,c91db800-20c8-461c-872d-bd6f9464af02
229,762.5003999999999,762.5154,PE(16:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),401.3384704589844,762.5079,417d5a2f-1505-4cbe-b8fc-dbecde12e3da
231,766.5317,766.5467000000001,PE(16:0/22:4(7Z_10Z_13Z_16Z)),1094.1656494140625,766.5392,48fe8f69-5d69-4fa4-a6e9-83917b0f0317
252,790.5317,790.5467000000001,PE(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1321.8914794921875,790.5392,b67f3662-111d-463d-bb3c-5146214eb5e8
